LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate
1,081109,203518,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.19.102:54106 dest: /10.250.19.102:50010,E5,Receiving block <*> src: /<*> dest: /<*>
2,081109,203518,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.jar. blk_-1608999687919862906,E22,BLOCK* NameSystem.allocateBlock:<*>
3,081109,203519,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.10.6:40524 dest: /10.250.10.6:50010,E5,Receiving block <*> src: /<*> dest: /<*>
4,081109,203519,145,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.14.224:42420 dest: /10.250.14.224:50010,E5,Receiving block <*> src: /<*> dest: /<*>
14,081109,203520,142,INFO,dfs.DataNode$DataXceiver,Receiving block blk_7503483334202473044 src: /10.251.215.16:55695 dest: /10.251.215.16:50010,E5,Receiving block <*> src: /<*> dest: /<*>
15,081109,203520,145,INFO,dfs.DataNode$DataXceiver,Receiving block blk_7503483334202473044 src: /10.250.19.102:34232 dest: /10.250.19.102:50010,E5,Receiving block <*> src: /<*> dest: /<*>
20,081109,203521,145,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-3544583377289625738 src: /10.250.19.102:39325 dest: /10.250.19.102:50010,E5,Receiving block <*> src: /<*> dest: /<*>
33,081109,203521,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.xml. blk_-3544583377289625738,E22,BLOCK* NameSystem.allocateBlock:<*>
38,081109,203522,144,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-3544583377289625738 src: /10.251.197.226:60229 dest: /10.251.197.226:50010,E5,Receiving block <*> src: /<*> dest: /<*>
39,081109,203522,145,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-3544583377289625738 src: /10.250.11.100:54800 dest: /10.250.11.100:50010,E5,Receiving block <*> src: /<*> dest: /<*>
